Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
28,0.64,1,2009,1,16,10,0,0,4,56145
28,0.59,1,2009,1,16,11,0,0,4,57166
29,0.54,1,2009,1,16,12,0,0,4,55448
29,0.596666667,1,2009,1,16,13,0,0,4,54803
29,0.653333333,1,2009,1,16,14,0,0,4,55518
29,0.71,1,2009,1,16,15,0,0,4,55824
29,0.783333333,1,2009,1,16,16,0,0,4,53625
29,0.856666667,1,2009,1,16,17,0,0,4,45867
28,0.93,1,2009,1,16,18,0,0,4,43877
27,0.933333333,1,2009,1,16,19,0,0,4,46589
25,0.936666667,1,2009,1,16,20,0,0,4,45134
25,0.94,1,2009,1,16,21,0,0,4,38589
24,0.933333333,1,2009,1,16,22,0,0,4,34231
23,0.926666667,1,2009,1,16,23,0,0,4,31346
23,0.92,1,2009,1,17,0,0,0,5,26390
23,0.91,1,2009,1,17,1,0,0,5,23719
22,0.9,1,2009,1,17,2,0,0,5,22434
22,0.89,1,2009,1,17,3,0,0,5,21934
22,0.886666667,1,2009,1,17,4,0,0,5,21999
22,0.883333333,1,2009,1,17,5,0,0,5,22620
21,0.88,1,2009,1,17,6,0,0,5,24095
21,0.803333333,1,2009,1,17,7,0,0,5,24832
22,0.726666667,1,2009,1,17,8,0,0,5,29508
25,0.65,1,2009,1,17,9,0,0,5,38446
27,0.6,1,2009,1,17,10,0,0,5,44575
29,0.55,1,2009,1,17,11,0,0,5,45532
30,0.5,1,2009,1,17,12,0,0,5,45327
30,0.556666667,1,2009,1,17,13,0,0,5,43281
31,0.613333333,1,2009,1,17,14,0,0,5,42661
30,0.67,1,2009,1,17,15,0,0,5,42552
30,0.74,1,2009,1,17,16,0,0,5,41653
29,0.81,1,2009,1,17,17,0,0,5,41129
28,0.88,1,2009,1,17,18,0,0,5,41531
27,0.893333333,1,2009,1,17,19,0,0,5,45678
25,0.906666667,1,2009,1,17,20,0,0,5,44498
24,0.92,1,2009,1,17,21,0,0,5,39717
24,0.923333333,1,2009,1,17,22,0,0,5,35754
23,0.926666667,1,2009,1,17,23,0,0,5,31730
23,0.93,0,2009,1,18,0,0,0,6,27514
22,0.933333333,0,2009,1,18,1,0,0,6,24736
22,0.936666667,0,2009,1,18,2,0,0,6,23114
22,0.94,0,2009,1,18,3,0,0,6,22418
22,0.936666667,0,2009,1,18,4,0,0,6,22171
22,0.933333333,0,2009,1,18,5,0,0,6,22605
22,0.93,0,2009,1,18,6,0,0,6,23154
22,0.846666667,0,2009,1,18,7,0,0,6,22542
22,0.763333333,0,2009,1,18,8,0,0,6,24718
25,0.68,0,2009,1,18,9,0,0,6,34512
27,0.626666667,0,2009,1,18,10,0,0,6,39186
28,0.573333333,0,2009,1,18,11,0,0,6,40048
29,0.52,0,2009,1,18,12,0,0,6,40432
30,0.573333333,0,2009,1,18,13,0,0,6,40266
31,0.626666667,0,2009,1,18,14,0,0,6,40155
30,0.68,0,2009,1,18,15,0,0,6,40132
30,0.726666667,0,2009,1,18,16,0,0,6,40029
30,0.773333333,0,2009,1,18,17,0,0,6,39786
28,0.82,0,2009,1,18,18,0,0,6,40984
27,0.826666667,0,2009,1,18,19,0,0,6,44537
25,0.833333333,0,2009,1,18,20,0,0,6,45078
24,0.84,0,2009,1,18,21,0,0,6,41103
24,0.843333333,0,2009,1,18,22,0,0,6,35530
23,0.846666667,0,2009,1,18,23,0,0,6,31621
22,0.85,1,2009,1,19,0,0,0,0,27864
22,0.856666667,1,2009,1,19,1,0,0,0,25362
22,0.863333333,1,2009,1,19,2,0,0,0,24141
