Predicted ANN load,Target Load,LSTM Load,Tmestamp,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD-LSTM
56636.742,56752.98406,56999.4,8/11/2010 12:00,[54406.258],[51096.188],[49371.453],[56688.98],49822.734
56191.617,56550.00838,56661.953,8/11/2010 13:00,[53882.71],[50456.41],[49428.027],[56115.348],49822.734
55851.004,56415.27789,56441.344,8/11/2010 14:00,[53781.824],[50069.086],[49688.594],[55782.055],49822.734
55554.617,56398.46103,56278.727,8/11/2010 15:00,[53182.61],[49819.855],[50426.566],[55535.195],49822.734
55263.574,55120.57463,56208.63,8/11/2010 16:00,[51666.04],[49628.203],[52739.92],[55370.24],40887.574
54165.35,53741.20039,54907.2,8/11/2010 17:00,[50843.797],[49433.176],[55392.34],[54316.016],40886.92
52970.43,53700.52704,53567.58,8/11/2010 18:00,[50206.836],[49353.426],[56552.438],[53119.336],40861.61
52831.234,53907.21808,53303.207,8/11/2010 19:00,[49858.49],[49438.637],[56819.652],[52969.492],40861.816
52717.973,53225.35276,53173.17,8/11/2010 20:00,[49734.4],[50072.25],[56983.926],[52991.68],40861.965
51954.15,51329.3487,52486.52,8/11/2010 21:00,[49650.207],[51894.19],[57003.023],[52332.656],40862.883
50443.75,50540.71583,50975.535,8/11/2010 22:00,[49702.195],[54499.414],[56870.414],[50695.133],40862.83
49788.72,49995.14535,50149.867,8/11/2010 23:00,[50039.934],[55896.07],[56623.45],[49896.996],40862.28
49333.914,49670.73624,49531.7,8/12/2010 0:00,[50848.387],[56455.055],[56266.465],[49283.883],40862.24
48608.668,49456.81004,49604.223,8/12/2010 1:00,[52618.258],[56612.105],[55529.625],[49008.],49782.914
48572.48,49201.8194,49336.04,8/12/2010 2:00,[54827.965],[56644.05],[54333.164],[48898.33],49782.914
48666.016,49108.54445,49054.527,8/12/2010 3:00,[56022.492],[56206.434],[53952.445],[48738.9],49782.914
48773.65,49143.15591,49073.043,8/12/2010 4:00,[56667.094],[55784.53],[54103.934],[48798.36],49782.914
49038.367,49337.9187,49419.586,8/12/2010 5:00,[56998.48],[55332.68],[53644.906],[49078.68],49782.914
49490.28,50242.50974,50174.824,8/12/2010 6:00,[57043.586],[54876.766],[51774.3],[49637.44],49782.914
50863.812,52236.48183,52070.758,8/12/2010 7:00,[56935.39],[54518.29],[50907.29],[51268.16],49782.914
53538.695,54211.48605,54731.94,8/12/2010 8:00,[56712.06],[54514.836],[50297.246],[53785.54],49782.914
55481.01,56268.81471,56348.766,8/12/2010 9:00,[56425.36],[54483.805],[49922.69],[55392.18],49822.734
56624.348,56759.82814,57267.07,8/12/2010 10:00,[55999.23],[53964.44],[49631.254],[56628.844],49822.734
56653.72,56777.42718,57033.582,8/12/2010 11:00,[55088.633],[52316.89],[49455.035],[56634.164],49822.734
56424.7,56372.258,56820.918,8/12/2010 12:00,[53978.625],[51471.68],[49345.945],[56325.344],49822.734
55905.57,56217.19084,56403.95,8/12/2010 13:00,[53564.625],[50751.94],[49342.88],[55721.492],49822.734
55630.188,56439.13438,56205.53,8/12/2010 14:00,[53551.88],[50295.426],[49545.21],[55499.457],49822.734
55578.387,56237.33197,56349.332,8/12/2010 15:00,[52925.71],[49946.97],[50015.016],[55563.03],49822.734
55256.113,55151.86183,56107.383,8/12/2010 16:00,[51335.145],[49677.883],[51252.902],[55284.902],49822.734
54290.59,53667.47994,54950.414,8/12/2010 17:00,[50461.625],[49465.324],[51970.285],[54309.645],49822.734
52944.203,53674.12847,53498.777,8/12/2010 18:00,[49953.207],[49307.062],[53325.836],[53021.484],49822.734
52772.344,53800.05943,53262.992,8/12/2010 19:00,[49662.234],[49471.355],[54614.22],[52910.086],49822.734
52644.53,53213.42451,53056.64,8/12/2010 20:00,[49554.1],[50306.9],[54823.883],[52883.438],49822.734
51913.78,51270.29412,52395.383,8/12/2010 21:00,[49486.8],[51417.91],[54788.984],[52299.203],40862.316
50463.055,50493.58949,50892.156,8/12/2010 22:00,[49608.],[51840.938],[54327.78],[50636.9],40862.453
49833.21,50001.0117,50076.51,8/12/2010 23:00,[49949.22],[53122.332],[53928.11],[49857.027],40862.598
49417.52,49719.03585,49511.688,13/08/2010 0:00,[50704.16],[53848.242],[53601.24],[49305.42],40862.3
48817.207,49497.28785,49619.07,13/08/2010 1:00,[52339.63],[53574.06],[53323.105],[49108.406],49820.605
48775.055,49253.83436,49340.047,13/08/2010 2:00,[54383.098],[53250.66],[52684.164],[48976.55],49820.605
48703.9,49110.4999,49068.453,13/08/2010 3:00,[55486.938],[53057.734],[52909.7],[48795.18],49820.605
48930.47,49119.10387,49009.76,13/08/2010 4:00,[55841.086],[53159.47],[53513.484],[48790.01],49820.605
49157.266,49278.86412,49276.375,13/08/2010 5:00,[55978.676],[53553.1],[53327.22],[49003.105],49820.605
49554.05,49513.12699,49918.855,13/08/2010 6:00,[55660.81],[53652.152],[51662.2],[49454.78],49820.605
50015.24,50015.48203,50680.875,13/08/2010 7:00,[55035.086],[53493.035],[50931.992],[50080.87],49820.605
50774.266,51528.41348,51719.562,13/08/2010 8:00,[54276.992],[53601.418],[50267.133],[51102.63],49869.45
52646.965,53725.16571,53668.27,13/08/2010 9:00,[53856.293],[53783.668],[49862.],[52846.95],50414.945
54802.305,53952.58451,55049.42,13/08/2010 10:00,[53546.215],[53403.008],[49337.586],[54519.926],50414.945
54856.504,53946.71816,54510.6,13/08/2010 11:00,[52927.305],[51819.273],[49116.31],[54469.977],50414.945
54695.316,53420.31109,54175.484,13/08/2010 12:00,[52347.797],[50953.25],[48959.44],[54253.176],50414.945
54083.742,52916.78279,53616.938,13/08/2010 13:00,[52543.637],[50323.33],[48900.805],[53628.676],50414.945
53451.695,52845.79996,53160.133,13/08/2010 14:00,[52799.203],[49914.555],[48821.016],[53034.242],50414.945
53195.59,52666.48522,53073.414,13/08/2010 15:00,[52304.844],[49212.723],[48729.066],[52819.734],50414.945
52841.953,52515.72005,52890.61,13/08/2010 16:00,[50700.625],[48992.844],[49437.84],[52528.25],50414.945
52502.305,52468.39817,52705.93,13/08/2010 17:00,[49881.562],[48861.285],[50519.58],[52256.324],50414.945
52245.008,52995.58741,52547.848,13/08/2010 18:00,[49535.277],[48857.06],[51687.977],[52093.633],50414.945
52427.125,53359.10552,52742.4,13/08/2010 19:00,[49365.48],[48976.54],[52077.703],[52399.17],50414.945
52409.83,52701.48777,52726.95,13/08/2010 20:00,[49035.016],[49052.594],[52208.664],[52565.71],50414.945
51641.535,50934.15231,52077.758,13/08/2010 21:00,[48844.875],[49381.508],[52159.215],[51935.44],50414.945
50296.082,50344.38867,50576.902,13/08/2010 22:00,[48751.15],[50033.66],[52186.684],[50377.867],50414.945
49794.344,49853.96188,49912.67,13/08/2010 23:00,[48810.125],[51382.54],[52260.418],[49757.105],50414.945
49393.156,49552.82262,49341.363,14/08/2010 0:00,[49040.258],[52724.89],[52659.473],[49207.03],50414.945
48734.434,49183.43817,49268.21,14/08/2010 1:00,[49439.402],[52736.887],[52758.938],[48785.46],49869.45
48517.77,48938.61586,48829.55,14/08/2010 2:00,[49946.29],[52318.19],[52545.863],[48448.332],49869.45
48451.336,48752.45705,48582.26,14/08/2010 3:00,[50799.43],[52175.797],[52781.11],[48326.57],49869.45
48445.832,48698.68218,48455.016,14/08/2010 4:00,[51906.1],[52363.023],[53013.965],[48256.133],49869.45
48573.043,48805.64528,48553.965,14/08/2010 5:00,[52527.93],[52592.754],[52596.117],[48362.832],49869.45
48863.594,48914.36829,48933.17,14/08/2010 6:00,[52849.203],[52589.62],[51005.83],[48673.57],49869.45
49139.105,49056.52948,49301.285,14/08/2010 7:00,[52715.07],[52317.715],[50163.48],[49000.8],49869.45
