Date time ,Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
4/4/2010 19:00,27,0.923333333,0,2010,4,4,19,0,0,6,37345
4/4/2010 20:00,26,0.926666667,0,2010,4,4,20,0,0,6,35066
4/4/2010 21:00,26,0.93,0,2010,4,4,21,0,0,6,29018
4/4/2010 22:00,25,0.933333333,0,2010,4,4,22,0,0,6,26274
4/4/2010 23:00,25,0.936666667,0,2010,4,4,23,0,0,6,24393
4/5/2010 0:00,25,0.94,1,2010,5,4,0,0,0,1,23041
4/5/2010 1:00,24,0.936666667,1,2010,5,4,1,0,0,1,22174
4/5/2010 2:00,24,0.933333333,1,2010,5,4,2,0,0,1,21340
4/5/2010 3:00,24,0.93,1,2010,5,4,3,0,0,1,20856
4/5/2010 4:00,23,0.92,1,2010,5,4,4,0,0,1,20974
4/5/2010 5:00,23,0.91,1,2010,5,4,5,0,0,1,23209
4/5/2010 6:00,23,0.9,1,2010,5,4,6,0,0,1,26602
4/5/2010 7:00,23,0.8,1,2010,5,4,7,0,0,1,38224
4/5/2010 8:00,23,0.7,1,2010,5,4,8,0,0,1,54466
4/5/2010 9:00,23,0.6,1,2010,5,4,9,0,0,1,64817
4/5/2010 10:00,26,0.563333333,1,2010,5,4,10,0,0,1,67456
4/5/2010 11:00,28,0.526666667,1,2010,5,4,11,0,0,1,67357
4/5/2010 12:00,30,0.49,1,2010,5,4,12,0,0,1,65158
4/5/2010 13:00,31,0.58,1,2010,5,4,13,0,0,1,65605
4/5/2010 14:00,32,0.67,1,2010,5,4,14,0,0,1,66376
4/5/2010 15:00,30,0.76,1,2010,5,4,15,0,0,1,64517
4/5/2010 16:00,32,0.816666667,1,2010,5,4,16,0,0,1,58029
4/5/2010 17:00,28,0.873333333,1,2010,5,4,17,0,0,1,50449
4/5/2010 18:00,27,0.93,1,2010,5,4,18,0,0,1,50562
4/5/2010 19:00,27,0.94,1,2010,5,4,19,0,0,1,51461
4/5/2010 20:00,27,0.95,1,2010,5,4,20,0,0,1,48016
4/5/2010 21:00,26,0.96,1,2010,5,4,21,0,0,1,38003
4/5/2010 22:00,26,0.963333333,1,2010,5,4,22,0,0,1,33935
4/5/2010 23:00,26,0.966666667,1,2010,5,4,23,0,0,1,30905
4/6/2010 0:00,26,0.97,1,2010,6,4,0,0,0,4,28148
4/6/2010 1:00,25,0.97,1,2010,6,4,1,0,0,4,27737
4/6/2010 2:00,25,0.97,1,2010,6,4,2,0,0,4,26707
4/6/2010 3:00,25,0.97,1,2010,6,4,3,0,0,4,26169
4/6/2010 4:00,24,0.966666667,1,2010,6,4,4,0,0,4,26557
4/6/2010 5:00,24,0.963333333,1,2010,6,4,5,0,0,4,29467
4/6/2010 6:00,24,0.96,1,2010,6,4,6,0,0,4,33213
4/6/2010 7:00,24,0.89,1,2010,6,4,7,0,0,4,43902
4/6/2010 8:00,23,0.82,1,2010,6,4,8,0,0,4,54447
4/6/2010 9:00,24,0.75,1,2010,6,4,9,0,0,4,64668
4/6/2010 10:00,27,0.753333333,1,2010,6,4,10,0,0,4,67822
4/6/2010 11:00,30,0.756666667,1,2010,6,4,11,0,0,4,68366
4/6/2010 12:00,31,0.76,1,2010,6,4,12,0,0,4,66847
4/6/2010 13:00,32,0.76,1,2010,6,4,13,0,0,4,67822
4/6/2010 14:00,33,0.76,1,2010,6,4,14,0,0,4,68595
4/6/2010 15:00,33,0.76,1,2010,6,4,15,0,0,4,67581
4/6/2010 16:00,33,0.813333333,1,2010,6,4,16,0,0,4,61778
4/6/2010 17:00,33,0.866666667,1,2010,6,4,17,0,0,4,52710
4/6/2010 18:00,33,0.92,1,2010,6,4,18,0,0,4,53397
4/6/2010 19:00,32,0.93,1,2010,6,4,19,0,0,4,53063
4/6/2010 20:00,30,0.94,1,2010,6,4,20,0,0,4,50138
4/6/2010 21:00,29,0.95,1,2010,6,4,21,0,0,4,40794
4/6/2010 22:00,28,0.893333333,1,2010,6,4,22,0,0,4,36801
4/6/2010 23:00,27,0.836666667,1,2010,6,4,23,0,0,4,33337
4/7/2010 0:00,27,0.78,1,2010,7,4,0,0,0,6,31740
4/7/2010 1:00,26,0.843333333,1,2010,7,4,1,0,0,6,30580
4/7/2010 2:00,26,0.906666667,1,2010,7,4,2,0,0,6,29193
4/7/2010 3:00,26,0.97,1,2010,7,4,3,0,0,6,28515
4/7/2010 4:00,25,0.966666667,1,2010,7,4,4,0,0,6,28496
4/7/2010 5:00,25,0.963333333,1,2010,7,4,5,0,0,6,30597
4/7/2010 6:00,25,0.96,1,2010,7,4,6,0,0,6,34871
4/7/2010 7:00,24,0.953333333,1,2010,7,4,7,0,0,6,45420
4/7/2010 8:00,24,0.946666667,1,2010,7,4,8,0,0,6,56528
4/7/2010 9:00,25,0.94,1,2010,7,4,9,0,0,6,67224
4/7/2010 10:00,28,0.83,1,2010,7,4,10,0,0,6,68932
4/7/2010 11:00,30,0.72,1,2010,7,4,11,0,0,6,69600
4/7/2010 12:00,31,0.61,1,2010,7,4,12,0,0,6,68511
