Tmestamp,ANN APEs,Proposed LSTM APEs,LSTM model 1 APEs,LSTM model 2 APEs,LSTM model 3 APEs,CNN-LSTM APEs
13/08/2010 0:00,1.314156316,0.104569908,2.167733407,11.54075909,7.593371604,0.442590743
13/08/2010 1:00,1.668733553,0.325292268,5.699528747,11.34631491,7.435266274,2.629724186
13/08/2010 2:00,1.573531016,0.25073857,9.106360344,10.73903323,7.068076395,2.623029571
13/08/2010 3:00,1.573940199,0.474704799,10.84692705,9.664159619,8.057006359,2.372560048
13/08/2010 4:00,1.51042835,0.750367659,12.29887285,9.090345259,8.77029056,2.290445145
13/08/2010 5:00,1.290029978,0.725268584,13.28673864,8.856015572,7.199498088,1.957488057
13/08/2010 6:00,0.720772473,0.095560497,11.50021289,7.347376809,3.613282212,1.653882636
13/08/2010 7:00,0.404962667,0.285721469,8.90157965,5.387719683,1.111511771,0.93385678
13/08/2010 8:00,1.374368882,0.40770415,4.540154377,3.157769491,2.96569092,1.147897713
13/08/2010 9:00,1.967779338,0.298585789,0.035906283,0.14205207,7.631566429,3.006173529
13/08/2010 10:00,1.146205498,0.924106777,0.54272008,1.748895847,8.663087325,0.309025956
13/08/2010 11:00,1.224100117,0.353722796,1.362294473,4.81538312,9.095322806,0.33395329
13/08/2010 12:00,1.895044955,1.157801026,1.499310045,5.45290926,8.494523894,1.03421133
13/08/2010 13:00,1.797955506,1.046335739,0.41882892,5.564961879,7.739478052,0.705290818
13/08/2010 14:00,0.834622695,0.137040295,0.242630521,6.051398526,7.510241047,0.27063638
13/08/2010 15:00,0.655754373,0.318830428,0.054075718,6.613532696,6.708815303,0.182220666
13/08/2010 16:00,0.251366543,0.360246322,2.114361279,6.625749484,5.632854405,0.34755317
13/08/2010 17:00,0.220199537,0.395491071,3.855035108,6.720584758,4.310210048,0.776768844
13/08/2010 18:00,1.78177742,0.362817773,5.869144134,7.949977755,3.052985143,1.94202095
13/08/2010 19:00,2.151305778,0.237418673,7.175055659,9.160617429,0.748242528,1.82681758
13/08/2010 20:00,1.090306544,1.709007218,7.004598781,8.527813844,0.356244649,0.020813891
13/08/2010 21:00,0.651817445,1.36363257,4.157007065,4.739044827,3.135628292,2.207561408
13/08/2010 22:00,0.832916401,0.177353092,3.151756754,1.904704169,4.085947579,0.159770199
13/08/2010 23:00,0.964207982,0.433388064,2.059659536,2.107120639,5.288970065,0.042811282
14/08/2010 0:00,1.270193274,0.188379541,1.052175421,5.03299156,6.271758531,0.330105555
14/08/2010 1:00,1.631862675,0.002700442,0.393138091,5.721189764,6.498723857,0.027685803
14/08/2010 2:00,1.778962982,0.229534199,2.050994133,6.092399811,6.262527221,0.082339599
14/08/2010 3:00,1.715938233,0.322636149,3.854677413,6.490571228,7.432357607,0.071551368
14/08/2010 4:00,1.717334315,0.500556009,6.14420696,6.973798197,8.196114641,0.21380903
14/08/2010 5:00,1.717004816,0.542284153,8.815588228,7.2498964,6.756060085,0.469505687
14/08/2010 6:00,1.309713919,0.00999647,9.038897699,6.518245705,3.668892746,0.36108468
14/08/2010 7:00,0.875747805,0.470674388,7.949656369,5.579034125,1.840928271,0.059993074
14/08/2010 8:00,1.350389963,0.235338508,5.443665485,5.330122135,0.622513083,0.64740507
14/08/2010 9:00,3.100260081,1.149536927,0.547609166,2.11534332,5.214724866,2.448614227
14/08/2010 10:00,0.600765688,1.236101903,0.799459139,0.141510711,6.458690809,0.143142666
14/08/2010 11:00,0.624407872,0.097596665,1.553835908,3.306430613,7.116159397,0.538219747
14/08/2010 12:00,0.365692867,0.647105164,1.589652337,4.483198782,7.08365368,0.85285607
14/08/2010 13:00,0.03860566,1.251895998,0.197748101,4.613899392,6.009939566,1.445355073
14/08/2010 14:00,0.869805266,0.482208469,0.837495808,5.123653732,4.835652232,0.755777813
14/08/2010 15:00,1.087109679,0.163336454,0.360245317,5.914517437,2.178145131,0.783923851
14/08/2010 16:00,1.013718631,0.132047947,1.835032195,5.981899367,1.243747751,0.873778406
14/08/2010 17:00,0.645983953,0.572002935,3.121158196,5.610143723,5.447847266,1.349705738
14/08/2010 18:00,1.831543273,0.766202746,5.316904758,6.600486663,6.986437425,0.130938221
14/08/2010 19:00,1.719104059,0.253586352,6.325250378,6.333937233,7.637382747,0.568904892
14/08/2010 20:00,0.992174726,1.472823313,5.811315512,4.384956484,9.113427178,1.818026393
14/08/2010 21:00,1.126369169,0.947789945,3.079718435,0.426178094,12.974742,3.962065406
14/08/2010 22:00,0.36546912,0.004000511,1.980642452,6.63366959,14.34025557,2.620676385
14/08/2010 23:00,0.155474923,0.297665684,0.313848277,12.67682,15.78193395,2.898029433
15/08/2010 0:00,0.266694959,0.10213904,1.687679668,15.95850948,15.98036332,2.853035012
15/08/2010 1:00,1.180345914,0.417596158,4.296533637,17.04491746,14.61990839,3.928716896
15/08/2010 2:00,1.249817311,0.162888806,9.354191272,17.67702899,12.09623735,4.050501997
15/08/2010 3:00,1.253328048,0.191883005,14.73405262,17.67416741,11.52770882,3.918403061
15/08/2010 4:00,1.299879266,0.51091036,16.91667785,17.24621776,11.29793438,3.815600036
15/08/2010 5:00,1.502341245,0.943367155,16.73625018,15.46419382,8.732505377,3.130905266
15/08/2010 6:00,1.90272557,1.495052372,14.69810722,11.56899091,3.273048731,1.920816506
15/08/2010 7:00,2.680355848,1.994652807,10.48414903,5.070878471,2.380761281,0.373913366
15/08/2010 8:00,1.084886928,0.298451983,6.02969974,0.404984121,6.922444471,0.943321291
15/08/2010 9:00,1.56988617,0.105500094,1.261814378,3.599388808,11.24828561,0.193444012
15/08/2010 10:00,0.605017131,0.362199245,0.130960165,5.666984696,12.41556682,2.604751637
15/08/2010 11:00,1.658262492,2.051013537,3.378309862,10.69310351,14.69855134,0.188840041
15/08/2010 12:00,0.16247715,0.529606502,4.276927739,11.60987584,14.4254124,1.469155304
15/08/2010 13:00,1.250143224,0.462440949,5.566929811,12.90271562,14.33489267,0.156645008
15/08/2010 14:00,1.266812073,0.477029567,6.220249726,13.41030736,12.97732303,0.438967869
15/08/2010 15:00,1.191167655,0.436912084,6.882730602,13.50605135,10.0639571,1.06570845
15/08/2010 16:00,0.15850744,0.292394323,7.326466148,11.93184852,5.05060405,2.786093107
15/08/2010 17:00,0.862914577,0.767041859,6.120429747,9.371039484,1.594882625,4.155056363
15/08/2010 18:00,1.298242919,0.174593304,7.474708929,8.788211761,5.065799062,1.48308872
15/08/2010 19:00,1.987469185,0.14422332,8.450916992,7.531722563,5.841934965,1.144715097
15/08/2010 20:00,1.23858151,1.363259119,7.894997575,4.181681036,7.599716095,2.265462524
15/08/2010 21:00,1.007012799,1.426707947,4.677121984,2.489182361,11.41510654,4.446474794
15/08/2010 22:00,0.491887177,0.116085487,2.89449024,8.277847784,12.75066111,2.072695572
15/08/2010 23:00,0.733319903,0.321662795,0.529039688,12.95617894,13.68409486,1.626201291
16/08/2010 0:00,1.12829855,0.057884543,2.359983528,14.45339967,13.61085764,1.027977014
16/08/2010 1:00,1.441303257,0.378596762,5.92812143,15.31162637,11.71031955,4.342249763
16/08/2010 2:00,1.356776382,0.191482377,10.80275226,15.9791311,9.492990161,4.109705368
16/08/2010 3:00,1.471544302,0.401925357,14.34007164,16.09588295,9.339931901,3.747101924
16/08/2010 4:00,1.684014504,0.862135271,15.51760264,15.66594908,9.243778609,3.160075258
16/08/2010 5:00,1.580629527,0.862782397,15.2023304,14.38372391,6.822714987,2.758140492
16/08/2010 6:00,2.068869391,0.964459014,13.05174818,9.870475613,1.584091844,1.688739762
16/08/2010 7:00,3.087991656,1.277046936,7.952218239,2.561228524,4.116250219,0.191863156
16/08/2010 8:00,1.436676322,0.441640631,3.487729125,1.937225719,8.690119515,0.443597342
16/08/2010 9:00,0.756933056,0.430137384,0.180603744,4.830316795,11.84412379,1.560139671
16/08/2010 10:00,0.560479365,0.304690723,0.71540645,6.636149968,12.85836802,3.391395391
16/08/2010 11:00,0.231488737,0.282915026,2.14271668,9.275796626,13.20383857,3.447987056
16/08/2010 12:00,0.083481723,0.346042214,4.029552398,10.52069444,13.32828908,2.348863182
16/08/2010 13:00,0.815256568,1.237874834,5.372575937,11.86508993,13.34541881,1.86883876
16/08/2010 14:00,1.355637706,1.489532907,5.830386194,12.73868076,12.58865061,1.210579385
16/08/2010 15:00,1.603055014,1.884996515,3.539643216,10.31770462,7.639825616,4.384881101
16/08/2010 16:00,0.740193099,0.467661702,4.01169263,8.80350861,2.906427752,3.133693748
16/08/2010 17:00,2.001255497,2.926859283,3.040552684,6.199298476,3.965362348,4.012651838
16/08/2010 18:00,0.129500287,0.846393497,4.255315831,6.007037606,7.252765207,0.903545573
16/08/2010 19:00,1.022421243,0.618303601,5.490362904,6.058947626,7.347678192,0.202609379
16/08/2010 20:00,0.301851495,1.636421601,5.53441129,4.250598682,8.704412515,1.413202955
16/08/2010 21:00,1.043915162,0.587282057,3.246562177,0.361636509,12.07230705,2.852250011
16/08/2010 22:00,0.072722736,0.190566216,1.619613482,5.764226351,13.42526721,1.306593988
16/08/2010 23:00,0.158980839,0.419448272,0.747237616,10.38254801,14.51315102,1.06786715
17/08/2010 0:00,0.500417874,0.205865232,3.872638549,12.82624628,14.92226941,0.769310691
17/08/2010 1:00,1.557448505,0.235236693,7.418859246,13.87093777,13.72875864,2.871550319
17/08/2010 2:00,1.606869202,0.156143549,10.93873256,15.15491499,11.37205753,2.764325052
17/08/2010 3:00,1.420598046,0.076112744,15.04609893,15.80068097,10.67128082,2.850231648
17/08/2010 4:00,1.476289097,0.441709664,16.10683872,15.73823023,9.835232683,2.601859244
17/08/2010 5:00,1.592635738,0.807953129,15.39207807,14.67061502,7.062959705,1.958999246
17/08/2010 6:00,1.255274727,0.529774376,13.42728601,11.9952748,2.8565184,1.453880905
17/08/2010 7:00,3.272707257,2.221628274,9.269560947,4.813707326,2.726200999,1.315653788
17/08/2010 8:00,0.44291373,1.027778663,6.117621815,0.691863586,6.696451039,0.586593682
17/08/2010 9:00,0.344550442,1.486496038,3.208743082,2.134215312,9.823042445,0.737121176
17/08/2010 10:00,0.744313081,0.667072343,2.00930512,4.11005374,10.8873946,1.547640924
17/08/2010 11:00,1.601457915,1.93835608,1.289150111,9.190779484,13.22103995,1.317465374
17/08/2010 12:00,1.032203292,0.550198393,3.879841081,11.22398795,13.91004183,0.226296913
17/08/2010 13:00,1.463099328,0.632211208,5.93540716,12.56937997,14.07858064,0.28332994
17/08/2010 14:00,2.071389185,1.127348386,7.176689307,13.54088506,13.4999088,0.832135222
17/08/2010 15:00,1.584874856,0.441285592,7.924305131,13.70444622,10.5410048,0.111587274
17/08/2010 16:00,0.290844493,1.241371784,7.885694249,11.94529308,5.112675499,2.024539558
17/08/2010 17:00,0.351276978,1.015580633,6.667809451,9.187098787,1.044089936,2.618956036
17/08/2010 18:00,1.650506066,0.09894411,7.550529374,8.149405791,4.464066976,0.113533751
17/08/2010 19:00,2.007564776,0.050812779,8.523050949,6.770472231,5.095832297,0.02264528
17/08/2010 20:00,1.361594177,0.804920347,8.079653219,2.873100426,7.019373798,1.204783081
17/08/2010 21:00,0.911079556,1.216634792,4.575430573,4.872352446,11.24194795,3.565529933
17/08/2010 22:00,0.555142625,0.025628085,2.604351096,9.755867629,12.88180725,0.98820585
17/08/2010 23:00,1.026341133,0.179711157,0.356103735,12.5311176,13.94000715,0.699109724
18/08/2010 0:00,1.053633563,0.487912224,4.395553222,14.4452988,14.38221344,0.623887305
18/08/2010 1:00,1.477499106,0.45702558,8.164714801,15.40629804,13.06416801,3.109486371
18/08/2010 2:00,1.499073091,0.36065315,11.85857143,16.23450307,10.47020084,2.837140475
18/08/2010 3:00,1.689056538,0.081664905,13.67584132,16.58268529,9.72977115,2.228102774
18/08/2010 4:00,1.507074105,0.254096761,14.68645735,16.58203462,9.705110819,2.217017257
18/08/2010 5:00,1.793383786,0.678375128,14.48253338,15.01860529,7.182099472,1.37288724
18/08/2010 6:00,1.924258606,0.334349225,12.9257258,11.75510911,2.069499742,0.709340162
18/08/2010 7:00,2.721382147,0.770085023,8.755493754,4.490222729,3.385101223,1.236872659
18/08/2010 8:00,1.916312064,0.111186942,4.193050615,1.486326384,8.189580466,1.36946661
18/08/2010 9:00,1.973984412,0.486187579,0.05016788,5.64207093,12.23767383,1.049482063
18/08/2010 10:00,0.73213435,0.171247168,1.525389826,7.912484132,13.69856498,0.013892423
