Tmestamp,Predicted ANN load,Target Load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,ANN APEs,Proposed LSTM APEs,LSTM model 1 APEs,LSTM model 2 APEs,LSTM model 3 APEs,CNN-LSTM APEs
14/08/2010 3:00,47915.895,48752.45705,48595.164,50631.707,51916.77,52375.914,48717.574,1.715938233,0.322636149,3.854677413,6.490571228,7.432357607,0.071551368
14/08/2010 4:00,47862.363,48698.68218,48454.918,51690.83,52094.83,52690.082,48594.56,1.717334315,0.500556009,6.14420696,6.973798197,8.196114641,0.21380903
14/08/2010 5:00,47967.65,48805.64528,48540.98,53108.15,52344.004,52102.984,48576.5,1.717004816,0.542284153,8.815588228,7.2498964,6.756060085,0.469505687
14/08/2010 6:00,48273.73,48914.36829,48919.258,53335.688,52102.727,50708.984,48737.746,1.309713919,0.00999647,9.038897699,6.518245705,3.668892746,0.36108468
14/08/2010 7:00,48626.918,49056.52948,49287.426,52956.355,51793.41,49959.625,49085.96,0.875747805,0.470674388,7.949656369,5.579034125,1.840928271,0.059993074
14/08/2010 8:00,49150.453,49823.26132,49706.008,52535.473,52478.902,49513.105,49500.703,1.350389963,0.235338508,5.443665485,5.330122135,0.622513083,0.64740507
14/08/2010 9:00,50307.59,51917.15689,51320.35,52201.46,53015.383,49209.82,50645.906,3.100260081,1.149536927,0.547609166,2.11534332,5.214724866,2.448614227
14/08/2010 10:00,52705.906,52391.1579,53038.766,51972.312,52465.297,49007.375,52466.152,0.600765688,1.236101903,0.799459139,0.141510711,6.458690809,0.143142666
14/08/2010 11:00,52845.6,52517.6755,52466.42,51701.637,50781.215,48780.434,52800.336,0.624407872,0.097596665,1.553835908,3.306430613,7.116159397,0.538219747
14/08/2010 12:00,52609.44,52417.75202,52756.95,51584.492,50067.76,48704.66,52864.8,0.365692867,0.647105164,1.589652337,4.483198782,7.08365368,0.85285607
14/08/2010 13:00,51984.54,51964.47877,52615.02,51861.72,49566.89,48841.445,52715.55,0.03860566,1.251895998,0.197748101,4.613899392,6.009939566,1.445355073
14/08/2010 14:00,51446.582,51897.99348,52148.25,52332.637,49238.92,49388.387,52290.227,0.869805266,0.482208469,0.837495808,5.123653732,4.835652232,0.755777813
14/08/2010 15:00,51273.652,51837.17899,51921.848,52023.92,48771.26,50708.09,52243.543,1.087109679,0.163336454,0.360245317,5.914517437,2.178145131,0.783923851
14/08/2010 16:00,51267.37,51792.3992,51860.79,50841.992,48694.23,52436.566,52244.95,1.013718631,0.132047947,1.835032195,5.981899367,1.243747751,0.873778406
14/08/2010 17:00,51247.81,51581.01508,51876.06,49971.09,48687.246,54391.07,52277.207,0.645983953,0.572002935,3.121158196,5.610143723,5.447847266,1.349705738
14/08/2010 18:00,51269.574,52226.11795,51825.96,49449.305,48778.94,55874.863,52157.734,1.831543273,0.766202746,5.316904758,6.600486663,6.986437425,0.130938221
14/08/2010 19:00,51534.125,52435.54661,52568.516,49118.867,49114.312,56440.25,52733.855,1.719104059,0.253586352,6.325250378,6.333937233,7.637382747,0.568904892
14/08/2010 20:00,51403.016,51918.13461,52682.797,48901.008,49641.547,56649.656,52862.02,0.992174726,1.472823313,5.811315512,4.384956484,9.113427178,1.818026393
14/08/2010 21:00,50878.824,50312.12375,50788.977,48762.652,50526.543,56839.992,52305.523,1.126369169,0.947789945,3.079718435,0.426178094,12.974742,3.962065406
14/08/2010 22:00,49567.332,49749.14978,49751.14,48763.797,53049.344,56883.305,51052.914,0.36546912,0.004000511,1.980642452,6.63366959,14.34025557,2.620676385
14/08/2010 23:00,49069.484,49145.89354,49292.184,48991.65,55376.03,56902.066,50570.156,0.155474923,0.297665684,0.313848277,12.67682,15.78193395,2.898029433
15/08/2010 0:00,48616.586,48746.5907,48796.38,49569.277,56525.82,56536.473,50137.348,0.266694959,0.10213904,1.687679668,15.95850948,15.98036332,2.853035012
15/08/2010 1:00,47966.188,48539.11749,48336.42,50624.617,56812.57,55635.492,50446.082,1.180345914,0.417596158,4.296533637,17.04491746,14.61990839,3.928716896
15/08/2010 2:00,47763.89,48368.40672,48289.62,52892.88,56918.504,54219.164,50327.57,1.249817311,0.162888806,9.354191272,17.67702899,12.09623735,4.050501997
15/08/2010 3:00,47680.32,48285.49566,48192.844,55399.906,56819.555,53851.707,50177.516,1.253328048,0.191883005,14.73405262,17.67416741,11.52770882,3.918403061
15/08/2010 4:00,47750.098,48378.96615,48131.793,56563.08,56722.508,53844.79,50224.914,1.299879266,0.51091036,16.91667785,17.24621776,11.29793438,3.815600036
15/08/2010 5:00,48031.2,48763.79866,48303.777,56925.03,56304.727,53022.1,50290.547,1.502341245,0.943367155,16.73625018,15.46419382,8.732505377,3.130905266
15/08/2010 6:00,48717.39,49662.32781,48919.85,56961.75,55407.758,51287.8,50616.25,1.90272557,1.495052372,14.69810722,11.56899091,3.273048731,1.920816506
15/08/2010 7:00,50191.99,51574.36655,50545.637,56981.5,54189.64,50346.504,51767.21,2.680355848,1.994652807,10.48414903,5.070878471,2.380761281,0.373913366
15/08/2010 8:00,52938.44,53519.0613,53678.79,56746.1,53735.805,49814.234,54023.918,1.084886928,0.298451983,6.02969974,0.404984121,6.922444471,0.943321291
