Tmestamp,Predicted ANN load,Target Load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load
8/12/2010 16:00,54761.152,55151.86183,55678.39,51660.582,49456.363,50644.406,56440.516
8/12/2010 17:00,53818.668,53667.47994,54731.145,50647.195,49402.266,51392.04,55216.812
8/12/2010 18:00,52602.676,53674.12847,53946.64,50018.75,49428,54069.434,53533.605
8/12/2010 19:00,52516.414,53800.05943,54136.82,49624.242,49555.99,54668.594,53449.25
8/12/2010 20:00,52442.996,53213.42451,54015.28,49277.09,49963.97,54471.535,53488.85
8/12/2010 21:00,51613.76,51270.29412,51879.793,49162.805,50905.434,54325.742,52829.047
8/12/2010 22:00,50207.516,50493.58949,50611.54,49289.4,51966.105,54008.457,50767.957
8/12/2010 23:00,49535.31,50001.0117,50150.473,49780.332,54083.715,53759.098,50010.465
13/08/2010 0:00,49065.65,49719.03585,49771.027,50796.812,55456.99,53494.387,49498.984
13/08/2010 1:00,48671.31,49497.28785,49336.277,52318.4,55113.406,53177.543,50798.93
13/08/2010 2:00,48478.81,49253.83436,49130.336,53739.066,54543.22,52735.133,50545.777
13/08/2010 3:00,48337.53,49110.4999,48877.37,54437.48,53856.617,53067.336,50275.676
13/08/2010 4:00,48377.195,49119.10387,48750.53,55160.2,53584.2,53426.992,50244.15
13/08/2010 5:00,48643.152,49278.86412,48921.46,55826.418,53643.008,52826.695,50243.492
13/08/2010 6:00,49156.25,49513.12699,49465.812,55207.242,53151.043,51302.176,50332.016
13/08/2010 7:00,49812.938,50015.48203,50158.387,54467.65,52710.176,50571.41,50482.555
13/08/2010 8:00,50820.223,51528.41348,51318.33,53867.883,53155.562,50000.24,50936.92
13/08/2010 9:00,52667.973,53725.16571,53564.75,53705.875,53648.848,49625.094,52110.094
13/08/2010 10:00,54570.992,53952.58451,54451.164,53659.773,53009.01,49278.625,54119.312
13/08/2010 11:00,54607.08,53946.71816,54137.54,53211.805,51348.977,49040.09,54126.875
13/08/2010 12:00,54432.65,53420.31109,54038.812,52619.375,50507.35,48882.51,53972.79
13/08/2010 13:00,53868.203,52916.78279,53470.47,52695.152,49971.984,48821.3,53290
13/08/2010 14:00,53286.863,52845.79996,52918.22,52974.02,49647.89,48876.953,52702.78
13/08/2010 15:00,53011.848,52666.48522,52834.402,52694.965,49183.37,49133.188,52570.516
13/08/2010 16:00,52647.727,52515.72005,52704.906,51405.348,49036.16,49557.586,52333.2
13/08/2010 17:00,52352.863,52468.39817,52675.906,50445.723,48942.215,50206.9,52060.84
13/08/2010 18:00,52051.324,52995.58741,52803.31,49885.2,48782.45,51377.64,51966.402
13/08/2010 19:00,52211.188,53359.10552,53485.79,49530.56,48471.082,52959.85,52384.332
13/08/2010 20:00,52126.88,52701.48777,53602.16,49009.96,48207.203,52889.234,52712.457
13/08/2010 21:00,51266.15,50934.15231,51628.707,48816.816,48520.36,52531.258,52058.555
13/08/2010 22:00,49925.062,50344.38867,50433.676,48757.656,49385.477,52401.434,50424.824
13/08/2010 23:00,49373.266,49853.96188,50070.023,48827.14,50904.445,52490.723,49875.305
14/08/2010 0:00,48923.406,49552.82262,49646.17,49031.44,52046.812,52660.656,49389.246
14/08/2010 1:00,48380.832,49183.43817,49182.11,49376.797,51997.316,52379.734,49197.055
14/08/2010 2:00,48068.016,48938.61586,48826.285,49942.344,51920.152,52003.41,48898.32
14/08/2010 3:00,47915.895,48752.45705,48595.164,50631.707,51916.77,52375.914,48717.574
14/08/2010 4:00,47862.363,48698.68218,48454.918,51690.83,52094.83,52690.082,48594.56
14/08/2010 5:00,47967.65,48805.64528,48540.98,53108.15,52344.004,52102.984,48576.5
14/08/2010 6:00,48273.73,48914.36829,48919.258,53335.688,52102.727,50708.984,48737.746
14/08/2010 7:00,48626.918,49056.52948,49287.426,52956.355,51793.41,49959.625,49085.96
14/08/2010 8:00,49150.453,49823.26132,49706.008,52535.473,52478.902,49513.105,49500.703
14/08/2010 9:00,50307.59,51917.15689,51320.35,52201.46,53015.383,49209.82,50645.906
14/08/2010 10:00,52705.906,52391.1579,53038.766,51972.312,52465.297,49007.375,52466.152
14/08/2010 11:00,52845.6,52517.6755,52466.42,51701.637,50781.215,48780.434,52800.336
14/08/2010 12:00,52609.44,52417.75202,52756.95,51584.492,50067.76,48704.66,52864.8
14/08/2010 13:00,51984.54,51964.47877,52615.02,51861.72,49566.89,48841.445,52715.55
14/08/2010 14:00,51446.582,51897.99348,52148.25,52332.637,49238.92,49388.387,52290.227
14/08/2010 15:00,51273.652,51837.17899,51921.848,52023.92,48771.26,50708.09,52243.543
14/08/2010 16:00,51267.37,51792.3992,51860.79,50841.992,48694.23,52436.566,52244.95
14/08/2010 17:00,51247.81,51581.01508,51876.06,49971.09,48687.246,54391.07,52277.207
14/08/2010 18:00,51269.574,52226.11795,51825.96,49449.305,48778.94,55874.863,52157.734
14/08/2010 19:00,51534.125,52435.54661,52568.516,49118.867,49114.312,56440.25,52733.855
14/08/2010 20:00,51403.016,51918.13461,52682.797,48901.008,49641.547,56649.656,52862.02
14/08/2010 21:00,50878.824,50312.12375,50788.977,48762.652,50526.543,56839.992,52305.523
14/08/2010 22:00,49567.332,49749.14978,49751.14,48763.797,53049.344,56883.305,51052.914
14/08/2010 23:00,49069.484,49145.89354,49292.184,48991.65,55376.03,56902.066,50570.156
15/08/2010 0:00,48616.586,48746.5907,48796.38,49569.277,56525.82,56536.473,50137.348
15/08/2010 1:00,47966.188,48539.11749,48336.42,50624.617,56812.57,55635.492,50446.082
15/08/2010 2:00,47763.89,48368.40672,48289.62,52892.88,56918.504,54219.164,50327.57
15/08/2010 3:00,47680.32,48285.49566,48192.844,55399.906,56819.555,53851.707,50177.516
15/08/2010 4:00,47750.098,48378.96615,48131.793,56563.08,56722.508,53844.79,50224.914
15/08/2010 5:00,48031.2,48763.79866,48303.777,56925.03,56304.727,53022.1,50290.547
15/08/2010 6:00,48717.39,49662.32781,48919.85,56961.75,55407.758,51287.8,50616.25
15/08/2010 7:00,50191.99,51574.36655,50545.637,56981.5,54189.64,50346.504,51767.21
15/08/2010 8:00,52938.44,53519.0613,53678.79,56746.1,53735.805,49814.234,54023.918
15/08/2010 9:00,54877.324,55752.57598,55811.395,56456.07,53745.824,49481.367,55860.426
15/08/2010 10:00,56415.867,56076.594,56279.703,56003.156,52898.742,49114.367,57537.25
15/08/2010 11:00,56357.24,57307.5496,56132.164,55371.523,51179.594,48884.17,57199.33
15/08/2010 12:00,56919.84,57012.47224,57314.414,54574.09,50393.395,48788.188,57850.074
15/08/2010 13:00,56460.008,57174.77457,56910.375,53991.895,49797.676,48978.832,57264.336
15/08/2010 14:00,56320.543,57043.1728,56771.06,53494.945,49393.508,49640.496,57293.574
15/08/2010 15:00,55957.94,56632.52836,56385.094,52734.664,48983.71,50933.055,57236.066
15/08/2010 16:00,55374.28,55462.1917,55624.36,51398.773,48844.527,52661.016,57007.42
15/08/2010 17:00,54389.945,53924.62158,54338.246,50624.203,48871.324,54784.656,56165.22
15/08/2010 18:00,53224.742,53924.81712,53830.668,49894.094,49185.79,56656.54,54724.57
15/08/2010 19:00,52876.652,53948.86915,54026.676,49389.695,49885.59,57100.527,54566.43
15/08/2010 20:00,52590.64,53250.18697,53976.125,49046.086,51023.434,57297.05,54456.55
15/08/2010 21:00,51855.92,51338.9304,52071.387,48937.746,52616.85,57199.324,53621.703
