Tmestamp,Target Load,Predicted ANN load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD_LSTM
13/08/2010 19:00,53359.10552,52211.188,53485.79,49530.56,48471.082,52959.85,52399.17,50414.945
13/08/2010 20:00,52701.48777,52126.88,53602.16,49009.96,48207.203,52889.234,52565.71,50414.945
13/08/2010 21:00,50934.15231,51266.15,51628.707,48816.816,48520.36,52531.258,51935.44,50414.945
13/08/2010 22:00,50344.38867,49925.062,50433.676,48757.656,49385.477,52401.434,50377.867,50414.945
13/08/2010 23:00,49853.96188,49373.266,50070.023,48827.14,50904.445,52490.723,49757.105,50414.945
14/08/2010 0:00,49552.82262,48923.406,49646.17,49031.44,52046.812,52660.656,49207.03,50414.945
14/08/2010 1:00,49183.43817,48380.832,49182.11,49376.797,51997.316,52379.734,48785.46,49869.45
14/08/2010 2:00,48938.61586,48068.016,48826.285,49942.344,51920.152,52003.41,48448.332,49869.45
14/08/2010 3:00,48752.45705,47915.895,48595.164,50631.707,51916.77,52375.914,48326.57,49869.45
14/08/2010 4:00,48698.68218,47862.363,48454.918,51690.83,52094.83,52690.082,48256.133,49869.45
14/08/2010 5:00,48805.64528,47967.65,48540.98,53108.15,52344.004,52102.984,48362.832,49869.45
14/08/2010 6:00,48914.36829,48273.73,48919.258,53335.688,52102.727,50708.984,48673.57,49869.45
14/08/2010 7:00,49056.52948,48626.918,49287.426,52956.355,51793.41,49959.625,49000.8,49869.45
14/08/2010 8:00,49823.26132,49150.453,49706.008,52535.473,52478.902,49513.105,49401.09,49869.45
14/08/2010 9:00,51917.15689,50307.59,51320.35,52201.46,53015.383,49209.82,50551.207,49869.45
14/08/2010 10:00,52391.1579,52705.906,53038.766,51972.312,52465.297,49007.375,52728.742,50414.945
14/08/2010 11:00,52517.6755,52845.6,52466.42,51701.637,50781.215,48780.434,52851.65,50414.945
14/08/2010 12:00,52417.75202,52609.44,52756.95,51584.492,50067.76,48704.66,52778.066,50414.945
14/08/2010 13:00,51964.47877,51984.54,52615.02,51861.72,49566.89,48841.445,52546.527,50414.945
14/08/2010 14:00,51897.99348,51446.582,52148.25,52332.637,49238.92,49388.387,52062.746,50414.945
14/08/2010 15:00,51837.17899,51273.652,51921.848,52023.92,48771.26,50708.09,51920.67,50414.945
14/08/2010 16:00,51792.3992,51267.37,51860.79,50841.992,48694.23,52436.566,51779.074,50414.945
14/08/2010 17:00,51581.01508,51247.81,51876.06,49971.09,48687.246,54391.07,51643.418,50414.945
14/08/2010 18:00,52226.11795,51269.574,51825.96,49449.305,48778.94,55874.863,51351.812,50414.945
14/08/2010 19:00,52435.54661,51534.125,52568.516,49118.867,49114.312,56440.25,51751.105,50414.945
14/08/2010 20:00,51918.13461,51403.016,52682.797,48901.008,49641.547,56649.656,51829.984,50414.945
