Tmestamp,Target Load,Target Load,Target Load,Target Load,Target Load,Target Load
13/08/2010 2:00,49253.83436,49253.83436,49253.83436,49253.83436,49253.83436,49253.83436
13/08/2010 3:00,49110.4999,49110.4999,49110.4999,49110.4999,49110.4999,49110.4999
13/08/2010 4:00,49119.10387,49119.10387,49119.10387,49119.10387,49119.10387,49119.10387
13/08/2010 5:00,49278.86412,49278.86412,49278.86412,49278.86412,49278.86412,49278.86412
13/08/2010 6:00,49513.12699,49513.12699,49513.12699,49513.12699,49513.12699,49513.12699
13/08/2010 7:00,50015.48203,50015.48203,50015.48203,50015.48203,50015.48203,50015.48203
13/08/2010 8:00,51528.41348,51528.41348,51528.41348,51528.41348,51528.41348,51528.41348
13/08/2010 9:00,53725.16571,53725.16571,53725.16571,53725.16571,53725.16571,53725.16571
13/08/2010 10:00,53952.58451,53952.58451,53952.58451,53952.58451,53952.58451,53952.58451
13/08/2010 11:00,53946.71816,53946.71816,53946.71816,53946.71816,53946.71816,53946.71816
13/08/2010 12:00,53420.31109,53420.31109,53420.31109,53420.31109,53420.31109,53420.31109
13/08/2010 13:00,52916.78279,52916.78279,52916.78279,52916.78279,52916.78279,52916.78279
13/08/2010 14:00,52845.79996,52845.79996,52845.79996,52845.79996,52845.79996,52845.79996
13/08/2010 15:00,52666.48522,52666.48522,52666.48522,52666.48522,52666.48522,52666.48522
13/08/2010 16:00,52515.72005,52515.72005,52515.72005,52515.72005,52515.72005,52515.72005
13/08/2010 17:00,52468.39817,52468.39817,52468.39817,52468.39817,52468.39817,52468.39817
13/08/2010 18:00,52995.58741,52995.58741,52995.58741,52995.58741,52995.58741,52995.58741
13/08/2010 19:00,53359.10552,53359.10552,53359.10552,53359.10552,53359.10552,53359.10552
13/08/2010 20:00,52701.48777,52701.48777,52701.48777,52701.48777,52701.48777,52701.48777
13/08/2010 21:00,50934.15231,50934.15231,50934.15231,50934.15231,50934.15231,50934.15231
13/08/2010 22:00,50344.38867,50344.38867,50344.38867,50344.38867,50344.38867,50344.38867
13/08/2010 23:00,49853.96188,49853.96188,49853.96188,49853.96188,49853.96188,49853.96188
14/08/2010 0:00,49552.82262,49552.82262,49552.82262,49552.82262,49552.82262,49552.82262
14/08/2010 1:00,49183.43817,49183.43817,49183.43817,49183.43817,49183.43817,49183.43817
14/08/2010 2:00,48938.61586,48938.61586,48938.61586,48938.61586,48938.61586,48938.61586
14/08/2010 3:00,48752.45705,48752.45705,48752.45705,48752.45705,48752.45705,48752.45705
14/08/2010 4:00,48698.68218,48698.68218,48698.68218,48698.68218,48698.68218,48698.68218
14/08/2010 5:00,48805.64528,48805.64528,48805.64528,48805.64528,48805.64528,48805.64528
14/08/2010 6:00,48914.36829,48914.36829,48914.36829,48914.36829,48914.36829,48914.36829
14/08/2010 7:00,49056.52948,49056.52948,49056.52948,49056.52948,49056.52948,49056.52948
14/08/2010 8:00,49823.26132,49823.26132,49823.26132,49823.26132,49823.26132,49823.26132
14/08/2010 9:00,51917.15689,51917.15689,51917.15689,51917.15689,51917.15689,51917.15689
14/08/2010 10:00,52391.1579,52391.1579,52391.1579,52391.1579,52391.1579,52391.1579
14/08/2010 11:00,52517.6755,52517.6755,52517.6755,52517.6755,52517.6755,52517.6755
14/08/2010 12:00,52417.75202,52417.75202,52417.75202,52417.75202,52417.75202,52417.75202
14/08/2010 13:00,51964.47877,51964.47877,51964.47877,51964.47877,51964.47877,51964.47877
14/08/2010 14:00,51897.99348,51897.99348,51897.99348,51897.99348,51897.99348,51897.99348
14/08/2010 15:00,51837.17899,51837.17899,51837.17899,51837.17899,51837.17899,51837.17899
14/08/2010 16:00,51792.3992,51792.3992,51792.3992,51792.3992,51792.3992,51792.3992
14/08/2010 17:00,51581.01508,51581.01508,51581.01508,51581.01508,51581.01508,51581.01508
14/08/2010 18:00,52226.11795,52226.11795,52226.11795,52226.11795,52226.11795,52226.11795
14/08/2010 19:00,52435.54661,52435.54661,52435.54661,52435.54661,52435.54661,52435.54661
14/08/2010 20:00,51918.13461,51918.13461,51918.13461,51918.13461,51918.13461,51918.13461
14/08/2010 21:00,50312.12375,50312.12375,50312.12375,50312.12375,50312.12375,50312.12375
14/08/2010 22:00,49749.14978,49749.14978,49749.14978,49749.14978,49749.14978,49749.14978
14/08/2010 23:00,49145.89354,49145.89354,49145.89354,49145.89354,49145.89354,49145.89354
15/08/2010 0:00,48746.5907,48746.5907,48746.5907,48746.5907,48746.5907,48746.5907
15/08/2010 1:00,48539.11749,48539.11749,48539.11749,48539.11749,48539.11749,48539.11749
15/08/2010 2:00,48368.40672,48368.40672,48368.40672,48368.40672,48368.40672,48368.40672
15/08/2010 3:00,48285.49566,48285.49566,48285.49566,48285.49566,48285.49566,48285.49566
15/08/2010 4:00,48378.96615,48378.96615,48378.96615,48378.96615,48378.96615,48378.96615
15/08/2010 5:00,48763.79866,48763.79866,48763.79866,48763.79866,48763.79866,48763.79866
15/08/2010 6:00,49662.32781,49662.32781,49662.32781,49662.32781,49662.32781,49662.32781
15/08/2010 7:00,51574.36655,51574.36655,51574.36655,51574.36655,51574.36655,51574.36655
15/08/2010 8:00,53519.0613,53519.0613,53519.0613,53519.0613,53519.0613,53519.0613
15/08/2010 9:00,55752.57598,55752.57598,55752.57598,55752.57598,55752.57598,55752.57598
15/08/2010 10:00,56076.594,56076.594,56076.594,56076.594,56076.594,56076.594
15/08/2010 11:00,57307.5496,57307.5496,57307.5496,57307.5496,57307.5496,57307.5496
15/08/2010 12:00,57012.47224,57012.47224,57012.47224,57012.47224,57012.47224,57012.47224
15/08/2010 13:00,57174.77457,57174.77457,57174.77457,57174.77457,57174.77457,57174.77457
15/08/2010 14:00,57043.1728,57043.1728,57043.1728,57043.1728,57043.1728,57043.1728
15/08/2010 15:00,56632.52836,56632.52836,56632.52836,56632.52836,56632.52836,56632.52836
15/08/2010 16:00,55462.1917,55462.1917,55462.1917,55462.1917,55462.1917,55462.1917
